item_name,Slot,Phase,instance_name,source_name,item_quality,item_id,url
Cloak of the Pit Stalker,Back,1,Magtheridon's Lair,Magtheridon,epic,28777,https://tbc.wowhead.com/item=28777
Brute Cloak of the Ogre-Magi,Back,1,Gruul's Lair,Maulgar,epic,28797,https://tbc.wowhead.com/item=28797
Drape of the Righteous,Back,1,Karazhan,Trash,epic,30642,https://tbc.wowhead.com/item=30642
Royal Cloak of Arathi Kings,Back,1,Karazhan,Moroes,epic,28529,https://tbc.wowhead.com/item=28529
Shadow-Cloak of Dalaran,Back,1,Karazhan,Moroes,epic,28570,https://tbc.wowhead.com/item=28570
Red Riding Hood's Cloak,Back,1,Karazhan,Opera Event,epic,28582,https://tbc.wowhead.com/item=28582
Gilded Thorium Cloak,Back,1,Karazhan,Illhoof,epic,28660,https://tbc.wowhead.com/item=28660
Shadowvine Cloak of Infusion,Back,1,Karazhan,Illhoof,epic,28653,https://tbc.wowhead.com/item=28653
Drape of the Dark Reavers,Back,1,Karazhan,Shade of Aran,epic,28672,https://tbc.wowhead.com/item=28672
Farstrider Wildercloak,Back,1,Karazhan,Malchezaar,epic,28764,https://tbc.wowhead.com/item=28764
Ruby Drape of the Mysticant,Back,1,Karazhan,Malchezaar,epic,28766,https://tbc.wowhead.com/item=28766
Stainless Cloak of the Pure Hearted,Back,1,Karazhan,Malchezaar,epic,28765,https://tbc.wowhead.com/item=28765
Phoenix-Wing Cloak,Back,2,Tempest Keep,Al'ar,epic,29925,https://tbc.wowhead.com/item=29925
Royal Cloak of the Sunstriders,Back,2,Tempest Keep,Kael'thas,epic,29992,https://tbc.wowhead.com/item=29992
Sunshower Light Cloak,Back,2,Tempest Keep,Kael'thas,epic,29989,https://tbc.wowhead.com/item=29989
Thalassian Wildercloak,Back,2,Tempest Keep,Kael'thas,epic,29994,https://tbc.wowhead.com/item=29994
Razor-Scale Battlecloak,Back,2,Serpentshrine Cavern,Morogrim,epic,30098,https://tbc.wowhead.com/item=30098
Nethervoid Cloak,Back,3,Black Temple,BT - Trash & Recipies,epic,32590,https://tbc.wowhead.com/item=32590
Pepe's Shroud of Pacification,Back,3,Black Temple,BT - Trash & Recipies,epic,34010,https://tbc.wowhead.com/item=34010
Shroud of the Final Stand,Back,3,Black Temple,BT - Trash & Recipies,epic,34012,https://tbc.wowhead.com/item=34012
Shadowmoon Destroyer's Drape,Back,3,Black Temple,BT - Gorefiend,epic,32323,https://tbc.wowhead.com/item=32323
Shroud of Forgiveness,Back,3,Black Temple,BT - Gurtogg,epic,32337,https://tbc.wowhead.com/item=32337
Cloak of the Illidari Council,Back,3,Black Temple,BT - Council,epic,32331,https://tbc.wowhead.com/item=32331
Shroud of the Highborne,Back,3,Black Temple,BT - Illidan,epic,32524,https://tbc.wowhead.com/item=32524
Nethervoid Cloak,Back,3,Hyjal Summit,MH - Trash & Recipies,epic,32590,https://tbc.wowhead.com/item=32590
Pepe's Shroud of Pacification,Back,3,Hyjal Summit,MH - Trash & Recipies,epic,34010,https://tbc.wowhead.com/item=34010
Chestguard of the Fallen Champion,Chest,1,Magtheridon's Lair,Magtheridon,epic,29754,https://tbc.wowhead.com/item=29754
Chestguard of the Fallen Defender,Chest,1,Magtheridon's Lair,Magtheridon,epic,29753,https://tbc.wowhead.com/item=29753
Chestguard of the Fallen Hero,Chest,1,Magtheridon's Lair,Magtheridon,epic,29755,https://tbc.wowhead.com/item=29755
Masquerade Gown,Chest,1,Karazhan,Opera Event,epic,28578,https://tbc.wowhead.com/item=28578
Breastplate of the Lightbinder,Chest,1,Karazhan,Illhoof,epic,28662,https://tbc.wowhead.com/item=28662
Earthblood Chestguard,Chest,1,Karazhan,Netherspite,epic,28735,https://tbc.wowhead.com/item=28735
Girdle of Truth,Chest,1,Karazhan,Netherspite,epic,28733,https://tbc.wowhead.com/item=28733
Chestguard of the Conniver,Chest,1,Karazhan,Nightbane,epic,28601,https://tbc.wowhead.com/item=28601
Panzar'Thar Breastplate,Chest,1,Karazhan,Nightbane,epic,28597,https://tbc.wowhead.com/item=28597
Robe of the Elder Scribes,Chest,1,Karazhan,Nightbane,epic,28602,https://tbc.wowhead.com/item=28602
Scaled Breastplate of Carnage,Chest,1,Karazhan,Nightbane,epic,28599,https://tbc.wowhead.com/item=28599
Stonebough Jerkin,Chest,1,Karazhan,Nightbane,epic,28600,https://tbc.wowhead.com/item=28600
Fire Crest Breastplate,Chest,2,Tempest Keep,Al'ar,epic,29921,https://tbc.wowhead.com/item=29921
Chestguard of the Vanquished Champion,Chest,2,Tempest Keep,Kael'thas,epic,30236,https://tbc.wowhead.com/item=30236
Chestguard of the Vanquished Defender,Chest,2,Tempest Keep,Kael'thas,epic,30237,https://tbc.wowhead.com/item=30237
Chestguard of the Vanquished Hero,Chest,2,Tempest Keep,Kael'thas,epic,30238,https://tbc.wowhead.com/item=30238
Ranger-General's Chestguard,Chest,2,Serpentshrine Cavern,Hydross,epic,30054,https://tbc.wowhead.com/item=30054
Robe of Hateful Echoes,Chest,2,Serpentshrine Cavern,Hydross,epic,30056,https://tbc.wowhead.com/item=30056
Glowing Breastplate of Truth,Chest,2,Serpentshrine Cavern,Lurker Below,epic,30065,https://tbc.wowhead.com/item=30065
Bloodsea Brigand's Vest,Chest,2,Serpentshrine Cavern,Karathress,epic,30101,https://tbc.wowhead.com/item=30101
Gnarled Chestpiece of the Ancients,Chest,2,Serpentshrine Cavern,Morogrim,epic,30075,https://tbc.wowhead.com/item=30075
Krakken-Heart Breastplate,Chest,2,Serpentshrine Cavern,Lady Vashj,epic,30102,https://tbc.wowhead.com/item=30102
Vestments of the Sea-Witch,Chest,2,Serpentshrine Cavern,Lady Vashj,epic,30107,https://tbc.wowhead.com/item=30107
Nether Shadow Tunic,Chest,3,Black Temple,BT - Supremus,epic,32252,https://tbc.wowhead.com/item=32252
Robe of the Shadow Council,Chest,3,Black Temple,BT - Gorefiend,epic,32327,https://tbc.wowhead.com/item=32327
Garments of Temperance,Chest,3,Black Temple,BT - Gurtogg,epic,32340,https://tbc.wowhead.com/item=32340
Vest of Mounting Assault,Chest,3,Black Temple,BT - Gurtogg,epic,32334,https://tbc.wowhead.com/item=32334
Heartshatter Breastplate,Chest,3,Black Temple,BT - Shahraz,epic,32365,https://tbc.wowhead.com/item=32365
Chestguard of the Forgotten Conqueror,Chest,3,Black Temple,BT - Illidan,epic,31089,https://tbc.wowhead.com/item=31089
